Location,Name,Frequency,Duplex,Offset,Tone,rToneFreq,cToneFreq,DtcsCode,DtcsPolarity,Mode,TStep,Skip,Comment,URCALL,RPT1CALL,RPT2CALL,DVCODE
853,MB6TF,431.075000,-,431.075000,,67.0,67.0,023,NN,FM,12.50,,TURRIFF,,,,
854,MB6TH,144.875000,-,144.875000,,67.0,67.0,023,NN,FM,12.50,,THAINSTONE,,,,
855,MB6TH,431.075000,-,431.075000,,67.0,67.0,023,NN,FM,12.50,,THAINSTONE,,,,
856,MB6TM,434.487500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,TANGMERE,,,,
857,MB6TN,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,TROON,,,,
858,MB6TS,144.825000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,STOCKSBRIDGE,,,,
859,MB6UE,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,CORSHAM,,,,
860,MB6VB,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,WETHERBY,,,,
861,MB6VY,434.475000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BEDFORD,,,,
862,MB6WL,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,MILTON KEYNES,,,,
863,MB6WN,434.500000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,DOWNHAM MARKET,,,,
864,MB6WS,144.837500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,WORCESTER,,,,
865,MB6XY,144.850000,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BIGGLESWADE,,,,
866,MB6YR,144.862500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,ROTHERHAM,,,,
867,MB6ZZ,144.812500,,0.000000,,67.0,67.0,023,NN,FM,12.50,,BASILDON,,,,
868,MB7ABB,430.025000,,0.000000,Tone,67.0,67.0,023,NN,FM,12.50,,BANBURY,,,,
869,MB7AGF,430.012500,,0.000000,Tone,82.5,82.5,023,NN,FM,12.50,,OLDHAM,,,,
870,MB7AGS,430.025000,,0.000000,Tone,110.9,110.9,023,NN,FM,12.50,,ABERGELE,,,,
871,MB7ALB,430.062500,,0.000000,Tone,71.9,71.9,023,NN,FM,12.50,,ROTHERHAM,,,,
872,MB7ALC,430.037500,,0.000000,Tone,71.9,71.9,023,NN,FM,12.50,,MEXBOROUGH,,,,
873,MB7ALV,430.062500,,0.000000,Tone,94.8,94.8,023,NN,FM,12.50,,LIVERPOOL,,,,
874,MB7AME,430.025000,,0.000000,Tone,88.5,88.5,023,NN,FM,12.50,,MERTHYR TYDFIL,,,,
875,MB7ANL,430.062500,,0.000000,Tone,77.0,77.0,023,NN,FM,12.50,,NEWCASTLE UNDER LYME,,,,
876,MB7APL,430.037500,,0.000000,Tone,82.5,82.5,023,NN,FM,12.50,,ATHERTON,,,,
877,MB7ASY,430.037500,,0.000000,Tone,103.5,103.5,023,NN,FM,12.50,,SHREWSBURY,,,,
878,MB7AUE,430.037500,,0.000000,Tone,118.8,118.8,023,NN,FM,12.50,,CORSHAM,,,,
879,MB7IAB,145.287500,,0.000000,Tone,118.8,118.8,023,NN,FM,12.50,,JARROW,,,,
880,MB7IAE,144.962500,,0.000000,Tone,118.8,118.8,023,NN,FM,12.50,,ALLENDALE,,,,
881,MB7IAF,145.287500,,0.000000,Tone,118.8,118.8,023,NN,FM,12.50,,LISBURN,,,,
